awb_number,batch_id,courier_,merchant_id,city,tier,discrepancy_type,expected_value,actual_value,variance_rs,severity,detected_at
AWB100079,BATCH-B,DTDC,M-020,Jaipur,Tier-3,PHANTOM_RTO_CHARGE,0.0,175.0,175.0,MEDIUM,2026-09-14 22:11:31.631484
AWB100089,BATCH-B,DTDC,M-019,Delhi,Tier-1,EXCESS_FORWARD_CHARGE,95.0,114.0,19.0,LOW,2026-09-14 22:11:32.127304
AWB100090,BATCH-D,Bluedart,M-003,Pune,Tier-2,PHANTOM_RTO_CHARGE,0.0,164.0,164.0,MEDIUM,2026-09-14 22:11:31.631484
AWB100097,BATCH-A,Shiprocket,M-015,Mumbai,Tier-1,PHANTOM_RTO_CHARGE,0.0,124.0,124.0,MEDIUM,2026-09-14 22:11:31.631484
AWB100103,BATCH-C,DTDC,M-004,Indore,Tier-2,EXCESS_FORWARD_CHARGE,95.0,114.0,19.0,LOW,2026-09-14 22:11:32.127304
AWB100110,BATCH-A,DTDC,M-002,Indore,Tier-2,EXCESS_FORWARD_CHARGE,95.0,114.0,19.0,LOW,2026-09-14 22:11:32.127304
AWB100111,BATCH-B,Bluedart,M-014,Delhi,Tier-1,PHANTOM_RTO_CHARGE,0.0,148.0,148.0,MEDIUM,2026-09-14 22:11:31.631484
AWB100112,BATCH-C,Delhivery,M-013,Lucknow,Tier-3,COD_SHORT_REMITTANCE,5683.0,5508.0,175.0,MEDIUM,2026-09-14 22:10:12.726074
AWB100112,BATCH-C,Delhivery,M-013,Lucknow,Tier-3,DUPLICATE_SETTLEMENT,1.0,2.0,5508.0,HIGH,2026-09-14 22:11:31.913657
AWB100112,BATCH-DUP,Delhivery,M-013,Lucknow,Tier-3,COD_SHORT_REMITTANCE,5683.0,5508.0,175.0,MEDIUM,2026-09-14 22:10:12.726074
AWB100112,BATCH-DUP,Delhivery,M-013,Lucknow,Tier-3,DUPLICATE_SETTLEMENT,1.0,2.0,5508.0,HIGH,2026-09-14 22:11:31.913657
AWB100113,BATCH-A,Kwikship,M-005,Lucknow,Tier-3,ETA_SLA_BREACH,72.0,108.7,0.0,LOW,2026-09-14 22:11:32.038362
AWB100128,BATCH-D,DTDC,M-016,Mumbai,Tier-1,EXCESS_FORWARD_CHARGE,95.0,114.0,19.0,LOW,2026-09-14 22:11:32.127304
AWB100133,BATCH-B,Delhivery,M-019,Lucknow,Tier-3,COD_SHORT_REMITTANCE,3151.0,3004.0,147.0,MEDIUM,2026-09-14 22:10:12.726074
AWB100137,BATCH-C,DTDC,M-020,Delhi,Tier-1,PHANTOM_RTO_CHARGE,0.0,196.0,196.0,MEDIUM,2026-09-14 22:11:31.631484
AWB100142,BATCH-D,Delhivery,M-003,Indore,Tier-2,COD_SHORT_REMITTANCE,3499.0,3387.0,112.0,MEDIUM,2026-09-14 22:10:12.726074
AWB100147,BATCH-D,DTDC,M-004,Indore,Tier-2,EXCESS_FORWARD_CHARGE,95.0,114.0,19.0,LOW,2026-09-14 22:11:32.127304
AWB100153,BATCH-D,Delhivery,M-005,Mumbai,Tier-1,COD_SHORT_REMITTANCE,5216.0,4944.0,272.0,MEDIUM,2026-09-14 22:10:12.726074
AWB100160,BATCH-B,Kwikship,M-013,Lucknow,Tier-3,ETA_SLA_BREACH,72.0,113.9,0.0,LOW,2026-09-14 22:11:32.038362
AWB100163,BATCH-B,DTDC,M-002,Mumbai,Tier-1,EXCESS_FORWARD_CHARGE,95.0,114.0,19.0,LOW,2026-09-14 22:11:32.127304
AWB100165,BATCH-C,DTDC,M-019,Mumbai,Tier-1,EXCESS_FORWARD_CHARGE,65.0,78.0,13.0,LOW,2026-09-14 22:11:32.127304
AWB100172,BATCH-C,Delhivery,M-006,Pune,Tier-2,COD_SHORT_REMITTANCE,5007.0,4809.0,198.0,MEDIUM,2026-09-14 22:10:12.726074
AWB100175,BATCH-C,DTDC,M-005,Mumbai,Tier-1,PHANTOM_RTO_CHARGE,0.0,207.0,207.0,MEDIUM,2026-09-14 22:11:31.631484
AWB100178,BATCH-C,Bluedart,M-009,Jaipur,Tier-3,WEIGHT_DISPUTE,7.29,8.89,96.0,LOW,2026-09-14 22:11:31.453814
AWB100182,BATCH-B,DTDC,M-019,Indore,Tier-2,EXCESS_FORWARD_CHARGE,95.0,114.0,19.0,LOW,2026-09-14 22:11:32.127304
AWB100182,BATCH-B,DTDC,M-019,Indore,Tier-2,PHANTOM_RTO_CHARGE,0.0,249.0,249.0,MEDIUM,2026-09-14 22:11:31.631484
AWB100183,BATCH-C,Bluedart,M-014,Delhi,Tier-1,PHANTOM_RTO_CHARGE,0.0,224.0,224.0,MEDIUM,2026-09-14 22:11:31.631484
AWB100188,BATCH-D,Bluedart,M-001,Lucknow,Tier-3,WEIGHT_DISPUTE,7.41,9.42,120.0,MEDIUM,2026-09-14 22:11:31.453814
AWB100189,BATCH-D,Bluedart,M-004,Jaipur,Tier-3,WEIGHT_DISPUTE,1.86,2.28,25.0,LOW,2026-09-14 22:11:31.453814
AWB100191,BATCH-A,Bluedart,M-019,Lucknow,Tier-3,WEIGHT_DISPUTE,2.26,2.7,26.0,LOW,2026-09-14 22:11:31.453814
AWB100194,BATCH-C,Delhivery,M-007,Jaipur,Tier-3,PHANTOM_RTO_CHARGE,0.0,134.0,134.0,MEDIUM,2026-09-14 22:11:31.631484
AWB100205,BATCH-D,DTDC,M-007,Mumbai,Tier-1,EXCESS_FORWARD_CHARGE,95.0,114.0,19.0,LOW,2026-09-14 22:11:32.127304
AWB100209,BATCH-B,DTDC,M-014,Lucknow,Tier-3,EXCESS_FORWARD_CHARGE,95.0,114.0,19.0,LOW,2026-09-14 22:11:32.127304
AWB100215,BATCH-C,Kwikship,M-008,Jaipur,Tier-3,ETA_SLA_BREACH,72.0,110.4,0.0,LOW,2026-09-14 22:11:32.038362
AWB100217,BATCH-D,Bluedart,M-020,Jaipur,Tier-3,WEIGHT_DISPUTE,5.24,6.79,93.0,LOW,2026-09-14 22:11:31.453814
AWB100223,BATCH-B,DTDC,M-016,Delhi,Tier-1,EXCESS_FORWARD_CHARGE,95.0,114.0,19.0,LOW,2026-09-14 22:11:32.127304
AWB100228,BATCH-A,Shiprocket,M-015,Mumbai,Tier-1,OVERDUE_REMITTANCE,14.0,18.0,0.0,MEDIUM,2026-09-14 22:11:31.791087
AWB100238,BATCH-C,Shiprocket,M-011,Pune,Tier-2,PHANTOM_RTO_CHARGE,0.0,171.0,171.0,MEDIUM,2026-09-14 22:11:31.631484
AWB100240,BATCH-A,Shiprocket,M-016,Delhi,Tier-1,OVERDUE_REMITTANCE,14.0,26.0,2285.0,MEDIUM,2026-09-14 22:11:31.791087
AWB100243,BATCH-C,Delhivery,M-008,Indore,Tier-2,COD_SHORT_REMITTANCE,3604.0,3358.0,246.0,MEDIUM,2026-09-14 22:10:12.726074
AWB100248,BATCH-B,Kwikship,M-003,Indore,Tier-2,PHANTOM_RTO_CHARGE,0.0,117.0,117.0,MEDIUM,2026-09-14 22:11:31.631484
AWB100250,BATCH-C,Delhivery,M-009,Delhi,Tier-1,COD_SHORT_REMITTANCE,5584.0,5218.0,366.0,MEDIUM,2026-09-14 22:10:12.726074
AWB100250,BATCH-C,Delhivery,M-009,Delhi,Tier-1,PHANTOM_RTO_CHARGE,0.0,113.0,113.0,MEDIUM,2026-09-14 22:11:31.631484
AWB100257,BATCH-B,DTDC,M-019,Pune,Tier-2,EXCESS_FORWARD_CHARGE,65.0,78.0,13.0,LOW,2026-09-14 22:11:32.127304
AWB100259,BATCH-B,DTDC,M-008,Pune,Tier-2,EXCESS_FORWARD_CHARGE,95.0,114.0,19.0,LOW,2026-09-14 22:11:32.127304
AWB100260,BATCH-C,DTDC,M-017,Lucknow,Tier-3,EXCESS_FORWARD_CHARGE,95.0,114.0,19.0,LOW,2026-09-14 22:11:32.127304
AWB100262,BATCH-D,Kwikship,M-004,Jaipur,Tier-3,ETA_SLA_BREACH,72.0,133.3,0.0,LOW,2026-09-14 22:11:32.038362
AWB100274,BATCH-B,DTDC,M-010,Pune,Tier-2,PHANTOM_RTO_CHARGE,0.0,208.0,208.0,MEDIUM,2026-09-14 22:11:31.631484
AWB100279,BATCH-B,Delhivery,M-008,Indore,Tier-2,COD_SHORT_REMITTANCE,3196.0,2988.0,208.0,MEDIUM,2026-09-14 22:10:12.726074
AWB100284,BATCH-C,Bluedart,M-006,Lucknow,Tier-3,WEIGHT_DISPUTE,2.87,3.5,38.0,LOW,2026-09-14 22:11:31.453814
AWB100287,BATCH-A,Kwikship,M-017,Lucknow,Tier-3,ETA_SLA_BREACH,72.0,140.7,0.0,LOW,2026-09-14 22:11:32.038362
AWB100287,BATCH-A,Kwikship,M-017,Lucknow,Tier-3,PHANTOM_RTO_CHARGE,0.0,212.0,212.0,MEDIUM,2026-09-14 22:11:31.631484
AWB100288,BATCH-C,DTDC,M-002,Delhi,Tier-1,EXCESS_FORWARD_CHARGE,95.0,114.0,19.0,LOW,2026-09-14 22:11:32.127304
AWB100289,BATCH-A,Shiprocket,M-007,Indore,Tier-2,PHANTOM_RTO_CHARGE,0.0,165.0,165.0,MEDIUM,2026-09-14 22:11:31.631484
AWB100294,BATCH-C,DTDC,M-009,Delhi,Tier-1,EXCESS_FORWARD_CHARGE,95.0,114.0,19.0,LOW,2026-09-14 22:11:32.127304
AWB100297,BATCH-A,Bluedart,M-010,Lucknow,Tier-3,WEIGHT_DISPUTE,7.64,9.13,90.0,LOW,2026-09-14 22:11:31.453814
AWB100298,BATCH-A,Bluedart,M-017,Lucknow,Tier-3,WEIGHT_DISPUTE,5.08,6.52,86.0,LOW,2026-09-14 22:11:31.453814
AWB100309,BATCH-B,DTDC,M-002,Jaipur,Tier-3,EXCESS_FORWARD_CHARGE,65.0,78.0,13.0,LOW,2026-09-14 22:11:32.127304
AWB100321,BATCH-C,Shiprocket,M-007,Mumbai,Tier-1,OVERDUE_REMITTANCE,14.0,22.0,4873.0,MEDIUM,2026-09-14 22:11:31.791087
AWB100322,BATCH-A,Bluedart,M-005,Jaipur,Tier-3,WEIGHT_DISPUTE,7.35,8.81,88.0,LOW,2026-09-14 22:11:31.453814
AWB100332,BATCH-C,DTDC,M-004,Pune,Tier-2,EXCESS_FORWARD_CHARGE,95.0,114.0,19.0,LOW,2026-09-14 22:11:32.127304
AWB100338,BATCH-C,DTDC,M-020,Jaipur,Tier-3,EXCESS_FORWARD_CHARGE,65.0,78.0,13.0,LOW,2026-09-14 22:11:32.127304
AWB100341,BATCH-A,Kwikship,M-016,Lucknow,Tier-3,ETA_SLA_BREACH,72.0,128.9,0.0,LOW,2026-09-14 22:11:32.038362
AWB100341,BATCH-A,Kwikship,M-016,Lucknow,Tier-3,PHANTOM_RTO_CHARGE,0.0,162.0,162.0,MEDIUM,2026-09-14 22:11:31.631484
AWB100343,BATCH-C,Bluedart,M-020,Delhi,Tier-1,DUPLICATE_SETTLEMENT,1.0,2.0,0.0,HIGH,2026-09-14 22:11:31.913657
AWB100343,BATCH-C,Bluedart,M-020,Delhi,Tier-1,PHANTOM_RTO_CHARGE,0.0,207.0,207.0,MEDIUM,2026-09-14 22:11:31.631484
AWB100343,BATCH-DUP,Bluedart,M-020,Delhi,Tier-1,DUPLICATE_SETTLEMENT,1.0,2.0,0.0,HIGH,2026-09-14 22:11:31.913657
AWB100343,BATCH-DUP,Bluedart,M-020,Delhi,Tier-1,PHANTOM_RTO_CHARGE,0.0,207.0,207.0,MEDIUM,2026-09-14 22:11:31.631484
AWB100345,BATCH-D,DTDC,M-004,Pune,Tier-2,EXCESS_FORWARD_CHARGE,42.0,50.0,8.0,LOW,2026-09-14 22:11:32.127304
AWB100345,BATCH-D,DTDC,M-004,Pune,Tier-2,PHANTOM_RTO_CHARGE,0.0,118.0,118.0,MEDIUM,2026-09-14 22:11:31.631484
AWB100349,BATCH-D,DTDC,M-015,Mumbai,Tier-1,EXCESS_FORWARD_CHARGE,95.0,114.0,19.0,LOW,2026-09-14 22:11:32.127304
AWB100363,BATCH-D,DTDC,M-013,Mumbai,Tier-1,EXCESS_FORWARD_CHARGE,95.0,114.0,19.0,LOW,2026-09-14 22:11:32.127304
AWB100369,BATCH-A,DTDC,M-016,Mumbai,Tier-1,EXCESS_FORWARD_CHARGE,95.0,114.0,19.0,LOW,2026-09-14 22:11:32.127304
AWB100372,BATCH-D,Bluedart,M-016,Lucknow,Tier-3,WEIGHT_DISPUTE,5.68,7.42,104.0,MEDIUM,2026-09-14 22:11:31.453814
AWB100375,BATCH-A,Kwikship,M-005,Mumbai,Tier-1,PHANTOM_RTO_CHARGE,0.0,238.0,238.0,MEDIUM,2026-09-14 22:11:31.631484
AWB100377,BATCH-A,DTDC,M-015,Lucknow,Tier-3,EXCESS_FORWARD_CHARGE,95.0,114.0,19.0,LOW,2026-09-14 22:11:32.127304
AWB100380,BATCH-B,Kwikship,M-010,Lucknow,Tier-3,ETA_SLA_BREACH,72.0,142.6,0.0,LOW,2026-09-14 22:11:32.038362
AWB100385,BATCH-C,Bluedart,M-009,Jaipur,Tier-3,WEIGHT_DISPUTE,3.95,4.99,62.0,LOW,2026-09-14 22:11:31.453814
AWB100389,BATCH-B,DTDC,M-001,Pune,Tier-2,DUPLICATE_SETTLEMENT,1.0,2.0,0.0,HIGH,2026-09-14 22:11:31.913657
AWB100389,BATCH-DUP,DTDC,M-001,Pune,Tier-2,DUPLICATE_SETTLEMENT,1.0,2.0,0.0,HIGH,2026-09-14 22:11:31.913657
AWB100392,BATCH-C,Bluedart,M-017,Lucknow,Tier-3,WEIGHT_DISPUTE,0.57,0.71,8.0,LOW,2026-09-14 22:11:31.453814
AWB100401,BATCH-D,DTDC,M-011,Mumbai,Tier-1,EXCESS_FORWARD_CHARGE,95.0,114.0,19.0,LOW,2026-09-14 22:11:32.127304
AWB100412,BATCH-A,Shiprocket,M-007,Jaipur,Tier-3,PHANTOM_RTO_CHARGE,0.0,133.0,133.0,MEDIUM,2026-09-14 22:11:31.631484
AWB100416,BATCH-C,DTDC,M-012,Pune,Tier-2,EXCESS_FORWARD_CHARGE,65.0,78.0,13.0,LOW,2026-09-14 22:11:32.127304
AWB100418,BATCH-B,DTDC,M-006,Mumbai,Tier-1,PHANTOM_RTO_CHARGE,0.0,151.0,151.0,MEDIUM,2026-09-14 22:11:31.631484
AWB100419,BATCH-C,Kwikship,M-005,Delhi,Tier-1,PHANTOM_RTO_CHARGE,0.0,114.0,114.0,MEDIUM,2026-09-14 22:11:31.631484
AWB100421,BATCH-B,Shiprocket,M-009,Mumbai,Tier-1,PHANTOM_RTO_CHARGE,0.0,135.0,135.0,MEDIUM,2026-09-14 22:11:31.631484
AWB100422,BATCH-D,Delhivery,M-002,Lucknow,Tier-3,COD_SHORT_REMITTANCE,3237.0,3129.0,108.0,MEDIUM,2026-09-14 22:10:12.726074
AWB100435,BATCH-A,Delhivery,M-008,Mumbai,Tier-1,DUPLICATE_SETTLEMENT,1.0,2.0,2344.0,HIGH,2026-09-14 22:11:31.913657
AWB100435,BATCH-DUP,Delhivery,M-008,Mumbai,Tier-1,DUPLICATE_SETTLEMENT,1.0,2.0,2344.0,HIGH,2026-09-14 22:11:31.913657
AWB100436,BATCH-A,DTDC,M-011,Jaipur,Tier-3,EXCESS_FORWARD_CHARGE,42.0,50.0,8.0,LOW,2026-09-14 22:11:32.127304
AWB100437,BATCH-C,Bluedart,M-009,Lucknow,Tier-3,WEIGHT_DISPUTE,1.8,2.29,29.0,LOW,2026-09-14 22:11:31.453814
AWB100439,BATCH-D,DTDC,M-011,Mumbai,Tier-1,PHANTOM_RTO_CHARGE,0.0,188.0,188.0,MEDIUM,2026-09-14 22:11:31.631484
AWB100441,BATCH-A,DTDC,M-012,Indore,Tier-2,EXCESS_FORWARD_CHARGE,65.0,78.0,13.0,LOW,2026-09-14 22:11:32.127304
AWB100441,BATCH-A,DTDC,M-012,Indore,Tier-2,PHANTOM_RTO_CHARGE,0.0,164.0,164.0,MEDIUM,2026-09-14 22:11:31.631484
AWB100458,BATCH-A,DTDC,M-020,Mumbai,Tier-1,EXCESS_FORWARD_CHARGE,95.0,114.0,19.0,LOW,2026-09-14 22:11:32.127304
AWB100472,BATCH-B,DTDC,M-014,Indore,Tier-2,EXCESS_FORWARD_CHARGE,95.0,114.0,19.0,LOW,2026-09-14 22:11:32.127304
AWB100473,BATCH-C,Kwikship,M-009,Jaipur,Tier-3,ETA_SLA_BREACH,72.0,122.0,0.0,LOW,2026-09-14 22:11:32.038362
AWB100481,BATCH-D,Bluedart,M-008,Lucknow,Tier-3,WEIGHT_DISPUTE,2.34,2.92,35.0,LOW,2026-09-14 22:11:31.453814
AWB100489,BATCH-A,DTDC,M-011,Mumbai,Tier-1,EXCESS_FORWARD_CHARGE,95.0,114.0,19.0,LOW,2026-09-14 22:11:32.127304
AWB100489,BATCH-A,DTDC,M-011,Mumbai,Tier-1,PHANTOM_RTO_CHARGE,0.0,223.0,223.0,MEDIUM,2026-09-14 22:11:31.631484
AWB100490,BATCH-C,Delhivery,M-015,Pune,Tier-2,COD_SHORT_REMITTANCE,4777.0,4626.0,151.0,MEDIUM,2026-09-14 22:10:12.726074
AWB100492,BATCH-A,Delhivery,M-006,Delhi,Tier-1,COD_SHORT_REMITTANCE,3789.0,3659.0,130.0,MEDIUM,2026-09-14 22:10:12.726074
AWB100497,BATCH-D,DTDC,M-009,Pune,Tier-2,EXCESS_FORWARD_CHARGE,95.0,114.0,19.0,LOW,2026-09-14 22:11:32.127304
AWB100498,BATCH-B,Delhivery,M-018,Indore,Tier-2,COD_SHORT_REMITTANCE,5547.0,5228.0,319.0,MEDIUM,2026-09-14 22:10:12.726074
AWB100499,BATCH-C,DTDC,M-006,Lucknow,Tier-3,EXCESS_FORWARD_CHARGE,95.0,114.0,19.0,LOW,2026-09-14 22:11:32.127304
AWB100504,BATCH-B,DTDC,M-015,Lucknow,Tier-3,PHANTOM_RTO_CHARGE,0.0,143.0,143.0,MEDIUM,2026-09-14 22:11:31.631484
AWB100509,BATCH-C,Delhivery,M-009,Mumbai,Tier-1,COD_SHORT_REMITTANCE,3305.0,3080.0,225.0,MEDIUM,2026-09-14 22:10:12.726074
AWB100515,BATCH-B,Bluedart,M-018,Jaipur,Tier-3,WEIGHT_DISPUTE,2.69,3.31,37.0,LOW,2026-09-14 22:11:31.453814
AWB100516,BATCH-C,Bluedart,M-008,Lucknow,Tier-3,WEIGHT_DISPUTE,5.34,6.95,97.0,LOW,2026-09-14 22:11:31.453814
AWB100520,BATCH-C,DTDC,M-003,Jaipur,Tier-3,EXCESS_FORWARD_CHARGE,42.0,50.0,8.0,LOW,2026-09-14 22:11:32.127304
AWB100521,BATCH-C,Kwikship,M-013,Pune,Tier-2,PHANTOM_RTO_CHARGE,0.0,198.0,198.0,MEDIUM,2026-09-14 22:11:31.631484
AWB100527,BATCH-A,DTDC,M-019,Lucknow,Tier-3,EXCESS_FORWARD_CHARGE,95.0,114.0,19.0,LOW,2026-09-14 22:11:32.127304
AWB100534,BATCH-B,Shiprocket,M-004,Indore,Tier-2,PHANTOM_RTO_CHARGE,0.0,105.0,105.0,MEDIUM,2026-09-14 22:11:31.631484
AWB100537,BATCH-D,Delhivery,M-014,Mumbai,Tier-1,PHANTOM_RTO_CHARGE,0.0,189.0,189.0,MEDIUM,2026-09-14 22:11:31.631484
AWB100543,BATCH-B,Bluedart,M-018,Lucknow,Tier-3,WEIGHT_DISPUTE,7.91,10.29,143.0,MEDIUM,2026-09-14 22:11:31.453814
AWB100544,BATCH-D,Delhivery,M-015,Mumbai,Tier-1,DUPLICATE_SETTLEMENT,1.0,2.0,0.0,HIGH,2026-09-14 22:11:31.913657
AWB100544,BATCH-DUP,Delhivery,M-015,Mumbai,Tier-1,DUPLICATE_SETTLEMENT,1.0,2.0,0.0,HIGH,2026-09-14 22:11:31.913657
AWB100549,BATCH-B,Bluedart,M-010,Indore,Tier-2,PHANTOM_RTO_CHARGE,0.0,190.0,190.0,MEDIUM,2026-09-14 22:11:31.631484
AWB100551,BATCH-D,DTDC,M-014,Jaipur,Tier-3,EXCESS_FORWARD_CHARGE,65.0,78.0,13.0,LOW,2026-09-14 22:11:32.127304
AWB100553,BATCH-D,DTDC,M-012,Delhi,Tier-1,PHANTOM_RTO_CHARGE,0.0,105.0,105.0,MEDIUM,2026-09-14 22:11:31.631484
AWB100557,BATCH-D,Shiprocket,M-013,Pune,Tier-2,PHANTOM_RTO_CHARGE,0.0,240.0,240.0,MEDIUM,2026-09-14 22:11:31.631484
AWB100558,BATCH-D,Shiprocket,M-009,Mumbai,Tier-1,OVERDUE_REMITTANCE,14.0,25.0,0.0,MEDIUM,2026-09-14 22:11:31.791087
AWB100559,BATCH-B,DTDC,M-001,Indore,Tier-2,PHANTOM_RTO_CHARGE,0.0,117.0,117.0,MEDIUM,2026-09-14 22:11:31.631484
AWB100561,BATCH-C,Kwikship,M-009,Jaipur,Tier-3,ETA_SLA_BREACH,72.0,134.0,0.0,LOW,2026-09-14 22:11:32.038362
AWB100563,BATCH-C,Kwikship,M-020,Pune,Tier-2,PHANTOM_RTO_CHARGE,0.0,186.0,186.0,MEDIUM,2026-09-14 22:11:31.631484
AWB100570,BATCH-D,DTDC,M-006,Mumbai,Tier-1,EXCESS_FORWARD_CHARGE,95.0,114.0,19.0,LOW,2026-09-14 22:11:32.127304
AWB100572,BATCH-B,Kwikship,M-005,Lucknow,Tier-3,ETA_SLA_BREACH,72.0,124.3,0.0,LOW,2026-09-14 22:11:32.038362
AWB100575,BATCH-D,Bluedart,M-010,Jaipur,Tier-3,WEIGHT_DISPUTE,5.95,7.11,70.0,LOW,2026-09-14 22:11:31.453814
AWB100576,BATCH-D,Delhivery,M-019,Mumbai,Tier-1,DUPLICATE_SETTLEMENT,1.0,2.0,4125.0,HIGH,2026-09-14 22:11:31.913657
AWB100576,BATCH-DUP,Delhivery,M-019,Mumbai,Tier-1,DUPLICATE_SETTLEMENT,1.0,2.0,4125.0,HIGH,2026-09-14 22:11:31.913657
AWB100578,BATCH-D,Delhivery,M-003,Indore,Tier-2,PHANTOM_RTO_CHARGE,0.0,176.0,176.0,MEDIUM,2026-09-14 22:11:31.631484
AWB100586,BATCH-C,DTDC,M-018,Lucknow,Tier-3,PHANTOM_RTO_CHARGE,0.0,169.0,169.0,MEDIUM,2026-09-14 22:11:31.631484
AWB100591,BATCH-C,Shiprocket,M-008,Delhi,Tier-1,OVERDUE_REMITTANCE,14.0,24.0,3947.0,MEDIUM,2026-09-14 22:11:31.791087
AWB100600,BATCH-D,Kwikship,M-011,Jaipur,Tier-3,ETA_SLA_BREACH,72.0,133.9,0.0,LOW,2026-09-14 22:11:32.038362
AWB100602,BATCH-C,DTDC,M-018,Delhi,Tier-1,EXCESS_FORWARD_CHARGE,95.0,114.0,19.0,LOW,2026-09-14 22:11:32.127304
AWB100604,BATCH-D,DTDC,M-006,Pune,Tier-2,EXCESS_FORWARD_CHARGE,65.0,78.0,13.0,LOW,2026-09-14 22:11:32.127304
AWB100607,BATCH-A,Delhivery,M-003,Pune,Tier-2,COD_SHORT_REMITTANCE,3892.0,3769.0,123.0,MEDIUM,2026-09-14 22:10:12.726074
AWB100616,BATCH-C,Bluedart,M-007,Lucknow,Tier-3,WEIGHT_DISPUTE,3.82,4.88,63.0,LOW,2026-09-14 22:11:31.453814
AWB100631,BATCH-B,Bluedart,M-006,Lucknow,Tier-3,WEIGHT_DISPUTE,4.18,5.07,54.0,LOW,2026-09-14 22:11:31.453814
AWB100635,BATCH-D,Bluedart,M-017,Jaipur,Tier-3,WEIGHT_DISPUTE,0.67,0.81,8.0,LOW,2026-09-14 22:11:31.453814
AWB100636,BATCH-A,Shiprocket,M-012,Pune,Tier-2,OVERDUE_REMITTANCE,14.0,26.0,2055.0,MEDIUM,2026-09-14 22:11:31.791087
AWB100639,BATCH-A,Bluedart,M-009,Lucknow,Tier-3,WEIGHT_DISPUTE,5.61,6.76,69.0,LOW,2026-09-14 22:11:31.453814
AWB100645,BATCH-D,Bluedart,M-016,Jaipur,Tier-3,PHANTOM_RTO_CHARGE,0.0,158.0,158.0,MEDIUM,2026-09-14 22:11:31.631484
AWB100646,BATCH-B,Bluedart,M-013,Lucknow,Tier-3,WEIGHT_DISPUTE,6.01,7.48,88.0,LOW,2026-09-14 22:11:31.453814
AWB100648,BATCH-A,Bluedart,M-006,Pune,Tier-2,PHANTOM_RTO_CHARGE,0.0,150.0,150.0,MEDIUM,2026-09-14 22:11:31.631484
AWB100654,BATCH-D,Bluedart,M-005,Indore,Tier-2,PHANTOM_RTO_CHARGE,0.0,179.0,179.0,MEDIUM,2026-09-14 22:11:31.631484
