order_id,awb_number,courier_id,merchant_id,geo_id,order_date,delivery_date,order_status,payment_mode,cod_amount,declared_weight,order_value,promised_eta_hrs,actual_eta_hrs
ORD100055,AWB100055,5,M-009,2,2026-09-10,,RTO,COD,2298,6.526,2298,72,
ORD100056,AWB100056,4,M-007,3,2026-07-08,2026-07-13,DELIVERED,Prepaid,0,2.512,751,96,106.2
ORD100057,AWB100057,3,M-013,1,2026-06-27,,LOST,COD,5843,4.008,5843,96,
ORD100058,AWB100058,1,M-010,3,2026-08-08,,LOST,Prepaid,0,2.238,797,72,
ORD100059,AWB100059,5,M-018,6,2026-08-22,2026-08-24,DELIVERED,COD,5007,2.09,5007,72,43.3
ORD100060,AWB100060,1,M-014,6,2026-07-19,,IN_TRANSIT,Prepaid,0,6.749,358,72,
ORD100061,AWB100061,2,M-006,1,2026-06-24,2026-06-26,DELIVERED,Prepaid,0,2.044,434,48,52.1
ORD100062,AWB100062,5,M-003,5,2026-08-12,2026-08-15,DELIVERED,COD,3972,4.751,3972,72,69.1
ORD100063,AWB100063,3,M-005,5,2026-08-06,,LOST,COD,1693,5.252,1693,96,
ORD100064,AWB100064,3,M-009,3,2026-07-10,,IN_TRANSIT,Prepaid,0,5.588,3812,96,
ORD100065,AWB100065,1,M-014,3,2026-08-08,,LOST,Prepaid,0,3.86,3995,72,
ORD100066,AWB100066,5,M-010,2,2026-07-04,2026-07-06,DELIVERED,Prepaid,0,3.243,4129,72,45.9
ORD100067,AWB100067,2,M-006,3,2026-08-26,,LOST,COD,1840,0.706,1840,48,
ORD100068,AWB100068,3,M-007,3,2026-07-18,2026-07-22,DELIVERED,COD,4778,7.381,4778,96,100.2
ORD100069,AWB100069,5,M-009,2,2026-08-07,2026-08-10,DELIVERED,Prepaid,0,3.235,1058,72,71.0
ORD100070,AWB100070,5,M-011,4,2026-08-10,2026-08-12,DELIVERED,COD,738,5.248,738,72,44.0
ORD100071,AWB100071,1,M-020,3,2026-08-01,2026-08-05,DELIVERED,Prepaid,0,6.885,1363,72,78.8
ORD100072,AWB100072,4,M-010,6,2026-08-22,2026-08-27,DELIVERED,Prepaid,0,2.599,3870,96,103.5
ORD100073,AWB100073,5,M-002,5,2026-06-27,2026-07-02,DELIVERED,Prepaid,0,2.342,774,72,125.3
ORD100074,AWB100074,1,M-020,2,2026-06-19,2026-06-23,DELIVERED,COD,1499,1.088,1499,72,81.1
ORD100075,AWB100075,2,M-005,2,2026-08-24,2026-08-26,DELIVERED,Prepaid,0,5.54,1846,48,50.5
ORD100076,AWB100076,2,M-010,3,2026-07-31,2026-08-02,DELIVERED,COD,4229,6.884,4229,48,46.6
ORD100077,AWB100077,1,M-016,4,2026-08-19,,IN_TRANSIT,COD,4834,4.21,4834,72,
ORD100078,AWB100078,5,M-004,6,2026-09-13,2026-09-19,DELIVERED,Prepaid,0,4.587,623,72,135.6
ORD100079,AWB100079,4,M-020,5,2026-07-31,2026-08-04,DELIVERED,Prepaid,0,6.028,3717,96,78.5
ORD100080,AWB100080,5,M-020,5,2026-08-23,2026-08-26,DELIVERED,COD,2080,4.529,2080,72,70.6
ORD100081,AWB100081,5,M-013,6,2026-06-24,2026-06-26,DELIVERED,Prepaid,0,0.735,1773,72,51.8
ORD100082,AWB100082,2,M-003,1,2026-08-27,2026-08-30,DELIVERED,Prepaid,0,3.147,1620,48,54.7
ORD100083,AWB100083,3,M-015,6,2026-07-03,2026-07-06,DELIVERED,Prepaid,0,6.153,1280,96,72.6
ORD100084,AWB100084,3,M-007,5,2026-06-24,2026-06-28,DELIVERED,Prepaid,0,1.871,1092,96,86.9
ORD100085,AWB100085,1,M-008,4,2026-09-02,2026-09-04,DELIVERED,Prepaid,0,2.002,605,72,44.7
ORD100086,AWB100086,2,M-007,3,2026-07-30,,RTO,Prepaid,0,4.181,2223,48,
ORD100087,AWB100087,3,M-003,4,2026-08-31,2026-09-03,DELIVERED,Prepaid,0,3.01,1231,96,70.2
ORD100088,AWB100088,3,M-010,1,2026-07-09,,RTO,COD,1662,3.871,1662,96,
ORD100089,AWB100089,4,M-019,2,2026-08-27,2026-08-30,DELIVERED,Prepaid,0,4.521,2751,96,77.3
ORD100090,AWB100090,2,M-003,3,2026-07-31,2026-08-02,DELIVERED,COD,2443,2.959,2443,48,35.8
ORD100091,AWB100091,3,M-012,1,2026-09-02,,LOST,COD,3542,3.652,3542,96,
ORD100092,AWB100092,5,M-008,4,2026-08-23,2026-08-27,DELIVERED,Prepaid,0,7.871,3377,72,77.8
ORD100093,AWB100093,5,M-010,5,2026-07-26,2026-07-29,DELIVERED,Prepaid,0,7.39,1558,72,61.2
ORD100094,AWB100094,5,M-003,2,2026-09-09,2026-09-12,DELIVERED,COD,5078,7.251,5078,72,69.3
ORD100095,AWB100095,2,M-016,3,2026-07-10,2026-07-12,DELIVERED,COD,1410,1.219,1410,48,43.0
ORD100096,AWB100096,5,M-015,4,2026-08-19,,RTO,COD,4726,0.905,4726,72,
ORD100097,AWB100097,3,M-015,1,2026-06-19,2026-06-24,DELIVERED,COD,2505,1.083,2505,96,114.6
ORD100098,AWB100098,1,M-015,5,2026-08-10,,IN_TRANSIT,Prepaid,0,1.333,959,72,
ORD100099,AWB100099,1,M-020,1,2026-07-23,2026-07-25,DELIVERED,COD,2756,3.709,2756,72,47.6
ORD100100,AWB100100,5,M-009,4,2026-08-20,2026-08-24,DELIVERED,COD,1437,5.71,1437,72,83.2
ORD100101,AWB100101,2,M-008,3,2026-08-12,2026-08-14,DELIVERED,Prepaid,0,6.512,2111,48,30.1
ORD100102,AWB100102,1,M-015,5,2026-07-09,2026-07-11,DELIVERED,Prepaid,0,6.247,3824,72,50.7
ORD100103,AWB100103,4,M-004,4,2026-08-04,,LOST,Prepaid,0,4.947,4118,96,
ORD100104,AWB100104,1,M-011,1,2026-08-31,2026-09-03,DELIVERED,Prepaid,0,4.67,1510,72,63.3
ORD100105,AWB100105,1,M-003,6,2026-08-02,,RTO,Prepaid,0,3.827,2447,72,
ORD100106,AWB100106,3,M-001,3,2026-08-18,,LOST,Prepaid,0,6.5,2331,96,
ORD100107,AWB100107,4,M-019,2,2026-06-21,,IN_TRANSIT,Prepaid,0,4.723,1209,96,
ORD100108,AWB100108,1,M-007,2,2026-08-26,,LOST,COD,2452,1.44,2452,72,
ORD100109,AWB100109,5,M-007,2,2026-07-10,,LOST,COD,4302,1.454,4302,72,
ORD100110,AWB100110,4,M-002,4,2026-09-06,,LOST,Prepaid,0,3.373,3294,96,
ORD100111,AWB100111,2,M-014,2,2026-08-03,2026-08-05,DELIVERED,COD,3884,5.218,3884,48,49.3
ORD100112,AWB100112,1,M-013,6,2026-07-06,2026-07-08,DELIVERED,COD,5683,1.908,5683,72,43.5
ORD100113,AWB100113,5,M-005,6,2026-09-07,2026-09-12,DELIVERED,COD,1265,5.718,1265,72,108.7
ORD100114,AWB100114,2,M-016,2,2026-06-21,2026-06-24,DELIVERED,Prepaid,0,1.804,3644,48,56.9
ORD100115,AWB100115,3,M-006,4,2026-09-05,2026-09-09,DELIVERED,Prepaid,0,0.636,3239,96,93.0
ORD100116,AWB100116,2,M-004,4,2026-09-04,,IN_TRANSIT,COD,2357,6.879,2357,48,
ORD100117,AWB100117,1,M-001,6,2026-07-05,,RTO,COD,3496,4.797,3496,72,
ORD100118,AWB100118,3,M-013,1,2026-06-20,,RTO,Prepaid,0,6.848,1230,96,
ORD100119,AWB100119,4,M-017,1,2026-08-05,,LOST,Prepaid,0,5.856,3170,96,
ORD100120,AWB100120,5,M-014,2,2026-07-10,2026-07-14,DELIVERED,COD,5401,4.428,5401,72,78.4
ORD100121,AWB100121,1,M-013,2,2026-06-25,,IN_TRANSIT,COD,3913,0.959,3913,72,
ORD100122,AWB100122,1,M-004,5,2026-08-29,2026-09-01,DELIVERED,COD,2187,0.852,2187,72,69.2
ORD100123,AWB100123,5,M-016,1,2026-09-09,2026-09-11,DELIVERED,COD,3762,2.943,3762,72,46.0
ORD100124,AWB100124,5,M-016,4,2026-07-27,2026-07-31,DELIVERED,Prepaid,0,1.605,3828,72,82.2
ORD100125,AWB100125,3,M-006,3,2026-07-29,2026-08-03,DELIVERED,Prepaid,0,2.603,1355,96,104.4
ORD100126,AWB100126,4,M-019,4,2026-08-07,,IN_TRANSIT,COD,4597,6.772,4597,96,
ORD100127,AWB100127,3,M-011,6,2026-07-16,2026-07-20,DELIVERED,Prepaid,0,5.933,2136,96,80.0
ORD100128,AWB100128,4,M-016,1,2026-07-15,2026-07-18,DELIVERED,COD,1044,3.589,1044,96,76.3
ORD100129,AWB100129,5,M-013,5,2026-09-12,2026-09-14,DELIVERED,COD,735,1.765,735,72,52.0
ORD100130,AWB100130,5,M-018,5,2026-06-21,2026-06-23,DELIVERED,Prepaid,0,8.019,2983,72,51.1
ORD100131,AWB100131,3,M-009,2,2026-08-29,2026-09-02,DELIVERED,Prepaid,0,5.759,3024,96,87.9
ORD100132,AWB100132,2,M-007,1,2026-08-29,,RTO,Prepaid,0,3.579,2962,48,
ORD100133,AWB100133,1,M-019,6,2026-06-29,,IN_TRANSIT,COD,3151,5.734,3151,72,
ORD100134,AWB100134,1,M-004,1,2026-08-05,,LOST,COD,1751,5.035,1751,72,
ORD100135,AWB100135,1,M-015,2,2026-07-17,2026-07-19,DELIVERED,COD,2412,4.362,2412,72,49.0
ORD100136,AWB100136,2,M-012,2,2026-07-11,,RTO,COD,1911,7.683,1911,48,
ORD100137,AWB100137,4,M-020,2,2026-08-28,2026-09-01,DELIVERED,Prepaid,0,5.854,2828,96,82.3
ORD100138,AWB100138,5,M-005,6,2026-06-17,2026-06-21,DELIVERED,COD,1685,1.055,1685,72,85.6
ORD100139,AWB100139,5,M-004,4,2026-07-01,2026-07-03,DELIVERED,COD,3534,3.864,3534,72,49.9
ORD100140,AWB100140,3,M-014,1,2026-08-16,,LOST,COD,1723,1.431,1723,96,
ORD100141,AWB100141,4,M-020,6,2026-07-24,,IN_TRANSIT,COD,3485,0.498,3485,96,
ORD100142,AWB100142,1,M-003,4,2026-09-05,2026-09-08,DELIVERED,COD,3499,0.444,3499,72,73.6
ORD100143,AWB100143,1,M-017,6,2026-08-09,2026-08-12,DELIVERED,Prepaid,0,2.944,1367,72,64.1
ORD100144,AWB100144,4,M-002,1,2026-09-11,,LOST,COD,5410,3.479,5410,96,
ORD100145,AWB100145,2,M-010,5,2026-09-12,2026-09-14,DELIVERED,COD,1871,1.477,1871,48,52.2
ORD100146,AWB100146,1,M-002,5,2026-06-23,2026-06-26,DELIVERED,COD,4673,4.838,4673,72,57.3
ORD100147,AWB100147,4,M-004,4,2026-08-02,2026-08-05,DELIVERED,COD,4207,8.137,4207,96,57.7
ORD100148,AWB100148,2,M-020,2,2026-08-11,2026-08-13,DELIVERED,COD,2257,1.877,2257,48,46.4
ORD100149,AWB100149,2,M-011,4,2026-06-27,2026-06-29,DELIVERED,Prepaid,0,4.219,1899,48,30.9
ORD100150,AWB100150,5,M-019,4,2026-07-10,2026-07-13,DELIVERED,COD,1829,5.635,1829,72,66.4
ORD100151,AWB100151,1,M-004,3,2026-06-17,,IN_TRANSIT,Prepaid,0,5.889,3916,72,
ORD100152,AWB100152,1,M-005,4,2026-09-10,2026-09-12,DELIVERED,Prepaid,0,3.352,2201,72,49.7
ORD100153,AWB100153,1,M-005,1,2026-08-31,2026-09-04,DELIVERED,COD,5216,3.459,5216,72,80.7
ORD100154,AWB100154,5,M-005,6,2026-09-10,2026-09-13,DELIVERED,COD,5902,0.874,5902,72,55.2
ORD100155,AWB100155,3,M-019,1,2026-09-12,2026-09-16,DELIVERED,Prepaid,0,5.216,4072,96,89.9
ORD100156,AWB100156,1,M-004,3,2026-08-10,2026-08-12,DELIVERED,Prepaid,0,2.04,1535,72,49.6
ORD100157,AWB100157,4,M-010,6,2026-07-19,,IN_TRANSIT,COD,1461,7.024,1461,96,
ORD100158,AWB100158,4,M-019,1,2026-06-27,2026-07-01,DELIVERED,Prepaid,0,3.961,2547,96,88.8
ORD100159,AWB100159,4,M-002,6,2026-07-31,,LOST,Prepaid,0,2.717,3602,96,
ORD100160,AWB100160,5,M-013,6,2026-07-13,2026-07-18,DELIVERED,COD,4032,5.885,4032,72,113.9
ORD100161,AWB100161,4,M-008,1,2026-06-16,2026-06-21,DELIVERED,COD,967,5.978,967,96,110.2
ORD100162,AWB100162,4,M-020,6,2026-06-25,2026-06-29,DELIVERED,COD,3528,6.855,3528,96,81.4
ORD100163,AWB100163,4,M-002,1,2026-07-13,2026-07-17,DELIVERED,COD,488,6.818,488,96,99.7
ORD100164,AWB100164,1,M-011,6,2026-09-02,2026-09-04,DELIVERED,COD,556,3.18,556,72,46.9
ORD100165,AWB100165,4,M-019,1,2026-06-26,2026-07-01,DELIVERED,COD,571,2.746,571,96,106.5
ORD100166,AWB100166,3,M-008,6,2026-07-13,2026-07-17,DELIVERED,Prepaid,0,5.818,3920,96,93.3
ORD100167,AWB100167,5,M-013,1,2026-08-31,2026-09-03,DELIVERED,Prepaid,0,3.774,1488,72,72.2
ORD100168,AWB100168,3,M-016,2,2026-07-30,2026-08-04,DELIVERED,Prepaid,0,1.201,3374,96,106.5
ORD100169,AWB100169,2,M-004,4,2026-08-01,,LOST,COD,4416,2.661,4416,48,
ORD100170,AWB100170,2,M-002,1,2026-06-28,2026-06-30,DELIVERED,COD,2789,2.815,2789,48,40.8
ORD100171,AWB100171,1,M-006,2,2026-08-28,2026-08-31,DELIVERED,Prepaid,0,1.798,1812,72,55.6
ORD100172,AWB100172,1,M-006,3,2026-08-20,2026-08-24,DELIVERED,COD,5007,5.112,5007,72,81.4
ORD100173,AWB100173,4,M-009,6,2026-06-28,2026-07-01,DELIVERED,COD,4359,4.607,4359,96,61.2
ORD100174,AWB100174,5,M-010,3,2026-07-30,2026-08-01,DELIVERED,Prepaid,0,6.775,3527,72,46.9
ORD100175,AWB100175,4,M-005,1,2026-07-03,2026-07-07,DELIVERED,Prepaid,0,1.293,1854,96,85.1
ORD100176,AWB100176,4,M-012,3,2026-09-05,2026-09-08,DELIVERED,COD,5510,4.886,5510,96,64.4
ORD100177,AWB100177,2,M-002,4,2026-06-24,2026-06-26,DELIVERED,COD,1681,8.121,1681,48,32.5
ORD100178,AWB100178,2,M-009,5,2026-07-28,,LOST,Prepaid,0,7.289,4288,48,
ORD100179,AWB100179,1,M-010,1,2026-07-01,2026-07-04,DELIVERED,Prepaid,0,1.423,3641,72,69.0
ORD100180,AWB100180,3,M-004,4,2026-06-17,2026-06-22,DELIVERED,COD,444,5.962,444,96,109.0
ORD100181,AWB100181,5,M-008,2,2026-09-06,2026-09-09,DELIVERED,Prepaid,0,3.364,3987,72,56.1
ORD100182,AWB100182,4,M-019,4,2026-06-25,2026-06-29,DELIVERED,COD,1702,7.318,1702,96,78.1
ORD100183,AWB100183,2,M-014,2,2026-07-16,2026-07-18,DELIVERED,Prepaid,0,5.296,3761,48,48.4
ORD100184,AWB100184,5,M-012,5,2026-09-11,,LOST,COD,3639,7.978,3639,72,
ORD100185,AWB100185,3,M-011,3,2026-08-19,2026-08-24,DELIVERED,COD,863,4.599,863,96,105.6
ORD100186,AWB100186,3,M-002,6,2026-08-20,,RTO,Prepaid,0,7.626,3653,96,
ORD100187,AWB100187,2,M-018,2,2026-07-11,,IN_TRANSIT,COD,1763,1.878,1763,48,
ORD100188,AWB100188,2,M-001,6,2026-08-27,2026-08-29,DELIVERED,COD,4960,7.409,4960,48,52.3
ORD100189,AWB100189,2,M-004,5,2026-08-07,,IN_TRANSIT,COD,4148,1.857,4148,48,
ORD100190,AWB100190,3,M-014,1,2026-07-03,,RTO,Prepaid,0,2.988,3460,96,
ORD100191,AWB100191,2,M-019,6,2026-08-22,2026-08-24,DELIVERED,Prepaid,0,2.258,1475,48,34.4
ORD100192,AWB100192,5,M-019,5,2026-07-28,,IN_TRANSIT,Prepaid,0,7.569,2511,72,
ORD100193,AWB100193,3,M-007,1,2026-07-12,2026-07-17,DELIVERED,COD,5207,2.389,5207,96,113.5
ORD100194,AWB100194,1,M-007,5,2026-09-13,2026-09-16,DELIVERED,Prepaid,0,5.311,2953,72,76.9
ORD100195,AWB100195,5,M-007,6,2026-08-25,2026-08-28,DELIVERED,COD,4411,4.566,4411,72,77.2
ORD100196,AWB100196,2,M-016,1,2026-09-01,,RTO,COD,3995,2.132,3995,48,
ORD100197,AWB100197,4,M-014,3,2026-06-18,2026-06-22,DELIVERED,Prepaid,0,4.821,1774,96,98.1
ORD100198,AWB100198,5,M-011,3,2026-07-05,2026-07-08,DELIVERED,COD,2252,5.807,2252,72,65.1
ORD100199,AWB100199,5,M-015,4,2026-07-21,2026-07-23,DELIVERED,COD,2492,2.421,2492,72,45.2
ORD100200,AWB100200,2,M-018,5,2026-06-26,,RTO,Prepaid,0,3.253,3036,48,
ORD100201,AWB100201,5,M-010,2,2026-07-23,2026-07-26,DELIVERED,COD,761,5.373,761,72,61.6
ORD100202,AWB100202,1,M-007,2,2026-08-01,2026-08-04,DELIVERED,COD,4583,2.809,4583,72,54.0
ORD100203,AWB100203,5,M-002,2,2026-08-20,2026-08-23,DELIVERED,COD,4980,2.315,4980,72,61.9
ORD100204,AWB100204,3,M-013,5,2026-06-22,,RTO,COD,3284,6.366,3284,96,
ORD100205,AWB100205,4,M-007,1,2026-08-11,,IN_TRANSIT,COD,5141,5.257,5141,96,
ORD100206,AWB100206,4,M-015,5,2026-07-15,2026-07-19,DELIVERED,COD,4882,6.331,4882,96,85.7
ORD100207,AWB100207,3,M-006,3,2026-07-02,2026-07-05,DELIVERED,Prepaid,0,3.641,3206,96,77.2
ORD100208,AWB100208,3,M-003,1,2026-06-20,2026-06-25,DELIVERED,COD,4312,0.439,4312,96,102.1
ORD100209,AWB100209,4,M-014,6,2026-08-22,2026-08-26,DELIVERED,COD,2026,4.132,2026,96,85.7
ORD100210,AWB100210,5,M-001,5,2026-07-19,2026-07-22,DELIVERED,Prepaid,0,4.061,3952,72,54.0
ORD100211,AWB100211,3,M-007,3,2026-07-07,,RTO,Prepaid,0,0.607,1035,96,
ORD100212,AWB100212,1,M-001,1,2026-07-09,2026-07-13,DELIVERED,Prepaid,0,1.561,2627,72,82.4
ORD100213,AWB100213,5,M-018,3,2026-08-26,2026-08-29,DELIVERED,Prepaid,0,3.112,4295,72,73.5
ORD100214,AWB100214,5,M-010,1,2026-06-22,,LOST,Prepaid,0,4.299,588,72,
ORD100215,AWB100215,5,M-008,5,2026-08-09,2026-08-14,DELIVERED,COD,3831,5.106,3831,72,110.4
ORD100216,AWB100216,3,M-017,2,2026-06-23,,RTO,COD,4788,4.257,4788,96,
ORD100217,AWB100217,2,M-020,5,2026-09-02,2026-09-04,DELIVERED,COD,3381,5.242,3381,48,46.4
ORD100218,AWB100218,3,M-016,3,2026-06-17,2026-06-21,DELIVERED,COD,2325,3.653,2325,96,81.9
ORD100219,AWB100219,2,M-003,5,2026-08-17,,RTO,COD,5438,2.37,5438,48,
ORD100220,AWB100220,2,M-002,3,2026-07-04,2026-07-06,DELIVERED,Prepaid,0,0.725,940,48,42.8
ORD100221,AWB100221,3,M-007,4,2026-06-20,,IN_TRANSIT,COD,696,7.762,696,96,
ORD100222,AWB100222,2,M-018,5,2026-09-07,2026-09-09,DELIVERED,Prepaid,0,1.033,2920,48,51.3
ORD100223,AWB100223,4,M-016,2,2026-09-11,2026-09-16,DELIVERED,COD,2538,3.129,2538,96,101.8
ORD100224,AWB100224,3,M-007,2,2026-08-31,,RTO,COD,998,6.242,998,96,
ORD100225,AWB100225,4,M-011,2,2026-08-21,,IN_TRANSIT,Prepaid,0,3.854,3144,96,
ORD100226,AWB100226,5,M-005,6,2026-07-04,2026-07-07,DELIVERED,COD,5366,2.236,5366,72,61.2
ORD100227,AWB100227,2,M-013,2,2026-07-04,2026-07-06,DELIVERED,COD,3920,5.237,3920,48,38.2
ORD100228,AWB100228,3,M-015,1,2026-08-13,,LOST,Prepaid,0,2.085,369,96,
ORD100229,AWB100229,5,M-019,3,2026-08-19,,RTO,COD,2591,4.701,2591,72,
ORD100230,AWB100230,5,M-001,3,2026-06-19,2026-06-22,DELIVERED,COD,4255,7.171,4255,72,69.7
ORD100231,AWB100231,2,M-017,1,2026-08-06,2026-08-08,DELIVERED,COD,3886,2.489,3886,48,33.6
ORD100232,AWB100232,2,M-020,1,2026-07-09,2026-07-11,DELIVERED,Prepaid,0,3.674,714,48,44.4
ORD100233,AWB100233,5,M-017,4,2026-07-10,2026-07-13,DELIVERED,Prepaid,0,0.991,2123,72,61.3
ORD100234,AWB100234,5,M-012,2,2026-07-16,2026-07-19,DELIVERED,COD,2097,8.122,2097,72,63.5
ORD100235,AWB100235,4,M-013,4,2026-07-16,,IN_TRANSIT,Prepaid,0,1.603,2952,96,
ORD100236,AWB100236,1,M-011,4,2026-07-24,2026-07-26,DELIVERED,Prepaid,0,1.795,4153,72,51.4
ORD100237,AWB100237,3,M-006,3,2026-07-19,2026-07-22,DELIVERED,COD,4869,3.17,4869,96,71.5
ORD100238,AWB100238,3,M-011,3,2026-09-11,2026-09-14,DELIVERED,Prepaid,0,0.737,1510,96,77.2
ORD100239,AWB100239,4,M-008,1,2026-09-11,2026-09-15,DELIVERED,COD,5705,7.917,5705,96,79.5
