settlement_id,awb_number,batch_id,courier_id,settlement_date,settled_cod,charged_weight,forward_charge,rto_charge,cod_fee
STL100050,AWB100050,BATCH-B,1,2026-09-14,0,1.493,65,0,0
STL100051,AWB100051,BATCH-C,4,2026-09-11,0,7.268,114,0,0
STL100052,AWB100052,BATCH-C,4,2026-08-19,0,1.791,78,0,0
STL100053,AWB100053,BATCH-C,3,2026-07-24,0,7.474,95,0,0
STL100054,AWB100054,BATCH-C,3,2026-09-08,0,7.45,95,0,0
STL100055,AWB100055,BATCH-B,5,2026-09-15,2298,6.526,95,129,45
STL100056,AWB100056,BATCH-A,4,2026-07-13,0,2.512,65,0,0
STL100057,AWB100057,BATCH-A,3,2026-07-02,5843,4.008,95,0,116
STL100058,AWB100058,BATCH-C,1,2026-08-11,0,2.238,65,0,0
STL100059,AWB100059,BATCH-A,5,2026-08-31,5007,2.09,65,0,100
STL100060,AWB100060,BATCH-A,1,2026-07-27,0,6.749,95,0,0
STL100061,AWB100061,BATCH-B,2,2026-06-26,0,2.044,65,0,0
STL100062,AWB100062,BATCH-C,5,2026-08-18,3972,4.751,95,232,79
STL100063,AWB100063,BATCH-C,3,2026-08-12,1693,5.252,95,0,33
STL100064,AWB100064,BATCH-B,3,2026-07-18,0,5.588,95,0,0
STL100065,AWB100065,BATCH-A,1,2026-08-17,0,3.86,95,0,0
STL100066,AWB100066,BATCH-B,5,2026-07-13,0,3.243,95,0,0
STL100067,AWB100067,BATCH-A,2,2026-09-03,1840,0.706,42,0,36
STL100068,AWB100068,BATCH-B,3,2026-07-25,4778,7.381,95,0,95
STL100069,AWB100069,BATCH-D,5,2026-08-15,0,3.235,95,0,0
STL100070,AWB100070,BATCH-A,5,2026-08-13,738,5.248,95,0,14
STL100071,AWB100071,BATCH-A,1,2026-08-05,0,6.885,95,0,0
STL100072,AWB100072,BATCH-D,4,2026-08-29,0,2.599,65,0,0
STL100073,AWB100073,BATCH-B,5,2026-07-05,0,2.342,65,0,0
STL100074,AWB100074,BATCH-D,1,2026-06-23,1499,1.088,65,0,29
STL100075,AWB100075,BATCH-B,2,2026-08-27,0,5.54,95,0,0
STL100076,AWB100076,BATCH-A,2,2026-08-03,4229,6.884,95,0,84
STL100077,AWB100077,BATCH-C,1,2026-08-22,4834,4.21,95,0,96
STL100078,AWB100078,BATCH-B,5,2026-09-18,0,4.587,95,0,0
STL100079,AWB100079,BATCH-B,4,2026-08-03,0,6.028,95,175,0
STL100080,AWB100080,BATCH-D,5,2026-08-31,2080,4.529,95,0,41
STL100081,AWB100081,BATCH-A,5,2026-06-27,0,0.735,42,0,0
STL100082,AWB100082,BATCH-B,2,2026-09-03,0,3.147,95,0,0
STL100083,AWB100083,BATCH-D,3,2026-07-08,0,6.153,95,0,0
STL100084,AWB100084,BATCH-D,3,2026-07-03,0,1.871,65,0,0
STL100085,AWB100085,BATCH-D,1,2026-09-05,0,2.002,65,0,0
STL100086,AWB100086,BATCH-A,2,2026-08-05,0,4.181,95,196,0
STL100087,AWB100087,BATCH-B,3,2026-09-05,0,3.01,95,0,0
STL100088,AWB100088,BATCH-C,3,2026-07-18,1662,3.871,95,188,33
STL100089,AWB100089,BATCH-B,4,2026-09-03,0,4.521,114,0,0
STL100090,AWB100090,BATCH-D,2,2026-08-08,2443,2.959,65,164,48
STL100091,AWB100091,BATCH-C,3,2026-09-10,3542,3.652,95,0,70
STL100092,AWB100092,BATCH-A,5,2026-08-30,0,7.871,95,0,0
STL100093,AWB100093,BATCH-A,5,2026-08-04,0,7.39,95,0,0
STL100094,AWB100094,BATCH-B,5,2026-09-11,5078,7.251,95,0,101
STL100095,AWB100095,BATCH-C,2,2026-07-13,1410,1.219,65,0,28
STL100096,AWB100096,BATCH-B,5,2026-08-21,4726,0.905,42,56,94
STL100097,AWB100097,BATCH-A,3,2026-06-25,2505,1.083,65,124,50
STL100098,AWB100098,BATCH-D,1,2026-08-15,0,1.333,65,0,0
STL100099,AWB100099,BATCH-A,1,2026-07-31,2756,3.709,95,0,55
STL100100,AWB100100,BATCH-A,5,2026-08-25,1437,5.71,95,0,28
STL100101,AWB100101,BATCH-D,2,2026-08-15,0,6.512,95,0,0
STL100102,AWB100102,BATCH-C,1,2026-07-17,0,6.247,95,0,0
STL100103,AWB100103,BATCH-C,4,2026-08-08,0,4.947,114,0,0
STL100104,AWB100104,BATCH-B,1,2026-09-05,0,4.67,95,0,0
STL100105,AWB100105,BATCH-B,1,2026-08-11,0,3.827,95,149,0
STL100106,AWB100106,BATCH-B,3,2026-08-22,0,6.5,95,0,0
STL100107,AWB100107,BATCH-D,4,2026-06-23,0,4.723,95,0,0
STL100108,AWB100108,BATCH-A,1,2026-08-29,2452,1.44,65,0,49
STL100109,AWB100109,BATCH-C,5,2026-07-19,4302,1.454,65,0,86
STL100110,AWB100110,BATCH-A,4,2026-09-09,0,3.373,114,0,0
STL100111,AWB100111,BATCH-B,2,2026-08-10,3884,5.218,95,148,77
STL100112,AWB100112,BATCH-C,1,2026-07-13,5508,1.908,65,0,113
STL9100112,AWB100112,BATCH-DUP,1,2026-07-13,5508,1.908,65,0,113
STL100113,AWB100113,BATCH-A,5,2026-09-16,1265,5.718,95,0,25
STL100114,AWB100114,BATCH-D,2,2026-06-28,0,1.804,65,0,0
STL100115,AWB100115,BATCH-A,3,2026-09-11,0,0.636,42,0,0
STL100116,AWB100116,BATCH-C,2,2026-09-06,2357,6.879,95,0,47
STL100117,AWB100117,BATCH-B,1,2026-07-12,3496,4.797,95,198,69
STL100118,AWB100118,BATCH-C,3,2026-06-26,0,6.848,95,58,0
STL100119,AWB100119,BATCH-A,4,2026-08-12,0,5.856,95,0,0
STL100120,AWB100120,BATCH-D,5,2026-07-18,5401,4.428,95,0,108
STL100121,AWB100121,BATCH-A,1,2026-06-29,3913,0.959,42,0,78
STL100122,AWB100122,BATCH-A,1,2026-09-05,2187,0.852,42,0,43
STL100123,AWB100123,BATCH-C,5,2026-09-14,3762,2.943,65,0,75
STL100124,AWB100124,BATCH-D,5,2026-07-29,0,1.605,65,0,0
STL100125,AWB100125,BATCH-C,3,2026-08-04,0,2.603,65,0,0
STL100126,AWB100126,BATCH-B,4,2026-08-12,4597,6.772,95,0,91
STL100127,AWB100127,BATCH-A,3,2026-07-20,0,5.933,95,0,0
STL100128,AWB100128,BATCH-D,4,2026-07-24,1044,3.589,114,0,20
STL100129,AWB100129,BATCH-A,5,2026-09-20,735,1.765,65,0,14
STL100130,AWB100130,BATCH-C,5,2026-06-23,0,8.019,95,0,0
STL100131,AWB100131,BATCH-C,3,2026-09-05,0,5.759,95,0,0
STL100132,AWB100132,BATCH-D,2,2026-09-03,0,3.579,95,154,0
STL100133,AWB100133,BATCH-B,1,2026-07-05,3004,5.734,95,0,63
STL100134,AWB100134,BATCH-C,1,2026-08-07,1751,5.035,95,0,35
STL100135,AWB100135,BATCH-A,1,2026-07-25,2412,4.362,95,0,48
STL100136,AWB100136,BATCH-A,2,2026-07-14,1911,7.683,95,105,38
STL100137,AWB100137,BATCH-C,4,2026-09-06,0,5.854,95,196,0
STL100138,AWB100138,BATCH-B,5,2026-06-20,1685,1.055,65,0,33
STL100139,AWB100139,BATCH-A,5,2026-07-04,3534,3.864,95,0,70
STL100140,AWB100140,BATCH-D,3,2026-08-20,1723,1.431,65,0,34
STL100141,AWB100141,BATCH-C,4,2026-07-27,3485,0.498,42,0,69
STL100142,AWB100142,BATCH-D,1,2026-09-10,3387,0.444,42,0,69
STL100143,AWB100143,BATCH-B,1,2026-08-18,0,2.944,65,0,0
STL100144,AWB100144,BATCH-A,4,2026-09-14,5410,3.479,95,0,108
STL100145,AWB100145,BATCH-B,2,2026-09-18,1871,1.477,65,0,37
STL100146,AWB100146,BATCH-D,1,2026-07-02,4673,4.838,95,0,93
STL100147,AWB100147,BATCH-D,4,2026-08-05,4207,8.137,114,0,84
STL100148,AWB100148,BATCH-C,2,2026-08-13,2257,1.877,65,0,45
STL100149,AWB100149,BATCH-C,2,2026-07-02,0,4.219,95,0,0
STL100150,AWB100150,BATCH-D,5,2026-07-17,1829,5.635,95,0,36
STL100151,AWB100151,BATCH-B,1,2026-06-22,0,5.889,95,0,0
STL100152,AWB100152,BATCH-A,1,2026-09-12,0,3.352,95,0,0
STL100153,AWB100153,BATCH-D,1,2026-09-02,4944,3.459,95,0,104
STL100154,AWB100154,BATCH-D,5,2026-09-16,5902,0.874,42,0,118
STL100155,AWB100155,BATCH-C,3,2026-09-15,0,5.216,95,0,0
STL100156,AWB100156,BATCH-B,1,2026-08-14,0,2.04,65,0,0
STL100157,AWB100157,BATCH-C,4,2026-07-23,1461,7.024,95,0,29
STL100158,AWB100158,BATCH-D,4,2026-06-30,0,3.961,95,0,0
STL100159,AWB100159,BATCH-B,4,2026-08-04,0,2.717,65,0,0
STL100160,AWB100160,BATCH-B,5,2026-07-20,4032,5.885,95,0,80
STL100161,AWB100161,BATCH-A,4,2026-06-22,967,5.978,95,0,19
STL100162,AWB100162,BATCH-B,4,2026-06-27,3528,6.855,95,0,70
STL100163,AWB100163,BATCH-B,4,2026-07-20,488,6.818,114,0,9
STL100164,AWB100164,BATCH-A,1,2026-09-07,556,3.18,95,0,11
STL100165,AWB100165,BATCH-C,4,2026-07-03,571,2.746,78,0,11
STL100166,AWB100166,BATCH-A,3,2026-07-22,0,5.818,95,0,0
STL100167,AWB100167,BATCH-D,5,2026-09-08,0,3.774,95,0,0
STL100168,AWB100168,BATCH-A,3,2026-08-06,0,1.201,65,0,0
STL100169,AWB100169,BATCH-D,2,2026-08-03,4416,2.661,65,0,88
STL100170,AWB100170,BATCH-C,2,2026-07-04,2789,2.815,65,0,55
STL100171,AWB100171,BATCH-A,1,2026-09-01,0,1.798,65,0,0
STL100172,AWB100172,BATCH-C,1,2026-08-22,4809,5.112,95,0,100
STL100173,AWB100173,BATCH-A,4,2026-07-02,4359,4.607,95,0,87
STL100174,AWB100174,BATCH-D,5,2026-08-01,0,6.775,95,0,0
STL100175,AWB100175,BATCH-C,4,2026-07-05,0,1.293,65,207,0
STL100176,AWB100176,BATCH-D,4,2026-09-12,5510,4.886,95,0,110
STL100177,AWB100177,BATCH-A,2,2026-06-27,1681,8.121,95,0,33
STL100178,AWB100178,BATCH-C,2,2026-08-06,0,8.89,95,0,0
STL100179,AWB100179,BATCH-B,1,2026-07-04,0,1.423,65,0,0
STL100180,AWB100180,BATCH-C,3,2026-06-21,444,5.962,95,0,8
STL100181,AWB100181,BATCH-C,5,2026-09-12,0,3.364,95,0,0
STL100182,AWB100182,BATCH-B,4,2026-06-29,1702,7.318,114,249,34
STL100183,AWB100183,BATCH-C,2,2026-07-24,0,5.296,95,224,0
STL100184,AWB100184,BATCH-B,5,2026-09-16,3639,7.978,95,0,72
STL100185,AWB100185,BATCH-D,3,2026-08-22,863,4.599,95,0,17
STL100186,AWB100186,BATCH-A,3,2026-08-28,0,7.626,95,129,0
STL100187,AWB100187,BATCH-D,2,2026-07-14,1763,1.878,65,0,35
STL100188,AWB100188,BATCH-D,2,2026-08-29,4960,9.417,95,0,99
STL100189,AWB100189,BATCH-D,2,2026-08-16,4148,2.278,65,0,82
STL100190,AWB100190,BATCH-B,3,2026-07-06,0,2.988,65,172,0
STL100191,AWB100191,BATCH-A,2,2026-08-24,0,2.695,65,0,0
STL100192,AWB100192,BATCH-C,5,2026-08-01,0,7.569,95,0,0
STL100193,AWB100193,BATCH-A,3,2026-07-14,5207,2.389,65,0,104
STL100194,AWB100194,BATCH-C,1,2026-09-16,0,5.311,95,134,0
STL100195,AWB100195,BATCH-C,5,2026-08-27,4411,4.566,95,0,88
STL100196,AWB100196,BATCH-C,2,2026-09-07,3995,2.132,65,99,79
STL100197,AWB100197,BATCH-B,4,2026-06-25,0,4.821,95,0,0
STL100198,AWB100198,BATCH-C,5,2026-07-10,2252,5.807,95,0,45
STL100199,AWB100199,BATCH-D,5,2026-07-28,2492,2.421,65,0,49
STL100200,AWB100200,BATCH-B,2,2026-07-05,0,3.253,95,86,0
STL100201,AWB100201,BATCH-B,5,2026-07-29,761,5.373,95,0,15
STL100202,AWB100202,BATCH-D,1,2026-08-06,4583,2.809,65,0,91
STL100203,AWB100203,BATCH-D,5,2026-08-29,4980,2.315,65,0,99
STL100204,AWB100204,BATCH-D,3,2026-07-01,3284,6.366,95,105,65
STL100205,AWB100205,BATCH-D,4,2026-08-15,5141,5.257,114,0,102
STL100206,AWB100206,BATCH-D,4,2026-07-23,4882,6.331,95,0,97
STL100207,AWB100207,BATCH-A,3,2026-07-07,0,3.641,95,0,0
STL100208,AWB100208,BATCH-C,3,2026-06-24,4312,0.439,42,0,86
STL100209,AWB100209,BATCH-B,4,2026-08-30,2026,4.132,114,0,40
STL100210,AWB100210,BATCH-B,5,2026-07-22,0,4.061,95,0,0
STL100211,AWB100211,BATCH-B,3,2026-07-10,0,0.607,42,143,0
STL100212,AWB100212,BATCH-D,1,2026-07-18,0,1.561,65,0,0
STL100213,AWB100213,BATCH-C,5,2026-08-28,0,3.112,95,0,0
STL100214,AWB100214,BATCH-B,5,2026-06-30,0,4.299,95,0,0
STL100215,AWB100215,BATCH-C,5,2026-08-12,3831,5.106,95,0,76
STL100216,AWB100216,BATCH-B,3,2026-06-27,4788,4.257,95,131,95
STL100217,AWB100217,BATCH-D,2,2026-09-05,3381,6.79,95,0,67
STL100218,AWB100218,BATCH-B,3,2026-06-23,2325,3.653,95,0,46
STL100219,AWB100219,BATCH-D,2,2026-08-26,5438,2.37,65,194,108
STL100220,AWB100220,BATCH-D,2,2026-07-08,0,0.725,42,0,0
STL100221,AWB100221,BATCH-B,3,2026-06-28,696,7.762,95,0,13
STL100222,AWB100222,BATCH-B,2,2026-09-13,0,1.033,65,0,0
STL100223,AWB100223,BATCH-B,4,2026-09-15,2538,3.129,114,0,50
STL100224,AWB100224,BATCH-B,3,2026-09-06,998,6.242,95,171,19
STL100225,AWB100225,BATCH-A,4,2026-08-23,0,3.854,95,0,0
STL100226,AWB100226,BATCH-C,5,2026-07-12,5366,2.236,65,0,107
STL100227,AWB100227,BATCH-D,2,2026-07-08,3920,5.237,95,0,78
STL100228,AWB100228,BATCH-A,3,2026-08-31,0,2.085,65,0,0
STL100229,AWB100229,BATCH-B,5,2026-08-26,2591,4.701,95,180,51
STL100230,AWB100230,BATCH-C,5,2026-06-28,4255,7.171,95,0,85
STL100231,AWB100231,BATCH-C,2,2026-08-12,3886,2.489,65,0,77
STL100232,AWB100232,BATCH-A,2,2026-07-16,0,3.674,95,0,0
STL100233,AWB100233,BATCH-A,5,2026-07-13,0,0.991,42,0,0
STL100234,AWB100234,BATCH-B,5,2026-07-18,2097,8.122,95,0,41
STL100235,AWB100235,BATCH-B,4,2026-07-22,0,1.603,65,0,0
STL100236,AWB100236,BATCH-D,1,2026-07-27,0,1.795,65,0,0
STL100237,AWB100237,BATCH-C,3,2026-07-22,4869,3.17,95,0,97
STL100238,AWB100238,BATCH-C,3,2026-09-16,0,0.737,42,171,0
STL100239,AWB100239,BATCH-A,4,2026-09-19,5705,7.917,95,0,114
STL100240,AWB100240,BATCH-A,3,2026-09-02,2285,6.138,95,0,45
STL100241,AWB100241,BATCH-B,1,2026-06-30,0,8.203,95,0,0
STL100242,AWB100242,BATCH-C,2,2026-08-19,0,8.008,95,0,0
STL100243,AWB100243,BATCH-C,1,2026-07-03,3358,7.246,95,0,72
STL100244,AWB100244,BATCH-C,1,2026-06-25,0,5.783,95,0,0
STL100245,AWB100245,BATCH-D,2,2026-07-09,0,4.264,95,126,0
STL100246,AWB100246,BATCH-C,5,2026-07-10,0,2.328,65,0,0
STL100247,AWB100247,BATCH-C,1,2026-09-02,0,1.242,65,0,0
STL100248,AWB100248,BATCH-B,5,2026-08-16,0,4.122,95,117,0
STL100249,AWB100249,BATCH-D,2,2026-07-28,1190,0.74,42,0,23
STL100250,AWB100250,BATCH-C,1,2026-07-30,5218,4.373,95,113,111
STL100251,AWB100251,BATCH-C,2,2026-07-01,0,4.067,95,0,0
STL100252,AWB100252,BATCH-C,3,2026-07-06,0,7.889,95,0,0
STL100253,AWB100253,BATCH-A,5,2026-07-26,1604,2.328,65,0,32
STL100254,AWB100254,BATCH-D,4,2026-08-23,991,2.477,65,89,19
STL100255,AWB100255,BATCH-C,5,2026-08-04,2949,4.793,95,0,58
STL100256,AWB100256,BATCH-B,4,2026-08-31,0,1.124,65,0,0
STL100257,AWB100257,BATCH-B,4,2026-06-23,3656,2.731,78,176,73
STL100258,AWB100258,BATCH-C,2,2026-08-03,2052,0.79,42,0,41
STL100259,AWB100259,BATCH-B,4,2026-08-23,1966,5.812,114,0,39
STL100260,AWB100260,BATCH-C,4,2026-08-31,0,5.608,114,0,0
STL100261,AWB100261,BATCH-C,2,2026-07-12,0,2.901,65,0,0
STL100262,AWB100262,BATCH-D,5,2026-08-25,4953,4.932,95,0,99
STL100263,AWB100263,BATCH-B,4,2026-07-13,3203,5.518,95,0,64
STL100264,AWB100264,BATCH-B,3,2026-09-11,1585,2.666,65,0,31
STL100265,AWB100265,BATCH-C,3,2026-06-28,1161,5.746,95,0,23
STL100266,AWB100266,BATCH-B,5,2026-08-14,0,3.514,95,0,0
STL100267,AWB100267,BATCH-B,1,2026-07-25,0,3.476,95,0,0
STL100268,AWB100268,BATCH-A,1,2026-08-05,0,4.672,95,0,0
STL100269,AWB100269,BATCH-D,3,2026-07-14,0,6.955,95,0,0
STL100270,AWB100270,BATCH-B,4,2026-07-17,3431,1.633,65,0,68
STL100271,AWB100271,BATCH-C,2,2026-07-28,1849,2.488,65,0,36
STL100272,AWB100272,BATCH-A,4,2026-07-21,0,7.537,95,0,0
STL100273,AWB100273,BATCH-A,3,2026-08-29,5245,1.869,65,0,104
STL100274,AWB100274,BATCH-B,4,2026-09-12,1128,7.72,95,208,22
STL100275,AWB100275,BATCH-B,3,2026-09-06,2379,5.413,95,0,47
STL100276,AWB100276,BATCH-C,2,2026-08-10,0,5.353,95,0,0
STL100277,AWB100277,BATCH-B,4,2026-07-18,5473,4.708,95,0,109
STL100278,AWB100278,BATCH-B,4,2026-08-20,0,3.83,95,0,0
STL100279,AWB100279,BATCH-B,1,2026-08-31,2988,5.199,95,0,63
STL100280,AWB100280,BATCH-A,2,2026-08-18,941,1.551,65,0,18
STL100281,AWB100281,BATCH-D,3,2026-07-23,2176,3.831,95,0,43
STL100282,AWB100282,BATCH-B,2,2026-08-10,3160,3.387,95,0,63
STL100283,AWB100283,BATCH-A,2,2026-07-28,0,8.2,95,0,0
STL100284,AWB100284,BATCH-C,2,2026-09-15,5314,3.495,65,0,106
STL100285,AWB100285,BATCH-C,1,2026-06-21,0,5.202,95,86,0
STL100286,AWB100286,BATCH-A,4,2026-08-17,752,4.621,95,0,15
STL100287,AWB100287,BATCH-A,5,2026-08-16,4221,2.484,65,212,84
STL100288,AWB100288,BATCH-C,4,2026-08-31,0,7.493,114,0,0
STL100289,AWB100289,BATCH-A,3,2026-08-30,0,5.42,95,165,0
STL100290,AWB100290,BATCH-D,5,2026-08-02,5000,2.197,65,0,100
STL100291,AWB100291,BATCH-A,2,2026-07-30,3249,5.469,95,0,64
STL100292,AWB100292,BATCH-B,1,2026-08-26,0,5.062,95,0,0
STL100293,AWB100293,BATCH-A,5,2026-08-03,983,2.91,65,171,19
STL100294,AWB100294,BATCH-C,4,2026-09-11,0,3.835,114,0,0
STL100295,AWB100295,BATCH-A,4,2026-07-21,1517,7.422,95,0,30
STL100296,AWB100296,BATCH-D,4,2026-07-06,1887,8.174,95,0,37
STL100297,AWB100297,BATCH-A,2,2026-08-07,1187,9.134,95,0,23
STL100298,AWB100298,BATCH-A,2,2026-08-15,0,6.515,95,0,0
STL100299,AWB100299,BATCH-D,2,2026-08-01,0,6.375,95,0,0
STL100300,AWB100300,BATCH-A,2,2026-08-10,729,7.913,95,0,14
STL100301,AWB100301,BATCH-A,1,2026-07-09,0,5.59,95,0,0
STL100302,AWB100302,BATCH-B,3,2026-07-23,2680,2.271,65,0,53
STL100303,AWB100303,BATCH-B,5,2026-08-03,5714,1.106,65,0,114
STL100304,AWB100304,BATCH-D,4,2026-08-01,1910,4.096,95,0,38
STL100305,AWB100305,BATCH-D,2,2026-09-15,0,5.885,95,0,0
STL100306,AWB100306,BATCH-A,2,2026-07-02,0,7.858,95,0,0
STL100307,AWB100307,BATCH-C,1,2026-09-06,0,1.887,65,0,0
STL100308,AWB100308,BATCH-C,5,2026-08-20,1362,6.363,95,0,27
STL100309,AWB100309,BATCH-B,4,2026-09-18,0,2.685,78,0,0
STL100310,AWB100310,BATCH-B,4,2026-07-17,1861,7.227,95,0,37
STL100311,AWB100311,BATCH-A,5,2026-08-12,0,0.563,42,196,0
STL100312,AWB100312,BATCH-A,4,2026-08-30,0,4.967,95,0,0
STL100313,AWB100313,BATCH-B,4,2026-08-22,0,6.035,95,0,0
STL100314,AWB100314,BATCH-A,2,2026-08-28,0,5.79,95,0,0
STL100315,AWB100315,BATCH-D,3,2026-07-11,2871,6.882,95,0,57
STL100316,AWB100316,BATCH-A,2,2026-09-09,4496,8.193,95,0,89
STL100317,AWB100317,BATCH-A,3,2026-06-26,2049,8.182,95,0,40
STL100318,AWB100318,BATCH-B,2,2026-09-18,0,4.489,95,0,0
STL100319,AWB100319,BATCH-B,4,2026-08-28,2615,3.86,95,0,52
STL100320,AWB100320,BATCH-A,3,2026-07-15,0,3.309,95,0,0
STL100321,AWB100321,BATCH-C,3,2026-09-02,4873,5.82,95,0,97
STL100322,AWB100322,BATCH-A,2,2026-09-11,2701,8.809,95,0,54
STL100323,AWB100323,BATCH-A,3,2026-08-24,0,3.254,95,0,0
STL100324,AWB100324,BATCH-B,5,2026-07-13,4747,0.908,42,0,94
STL100325,AWB100325,BATCH-A,3,2026-09-17,5359,0.439,42,0,107
STL100326,AWB100326,BATCH-A,3,2026-08-23,0,0.61,42,0,0
STL100327,AWB100327,BATCH-B,1,2026-07-18,0,4.764,95,0,0
STL100328,AWB100328,BATCH-B,5,2026-08-21,4787,8.178,95,0,95
STL100329,AWB100329,BATCH-D,1,2026-07-01,0,5.692,95,0,0
STL100330,AWB100330,BATCH-C,1,2026-09-16,0,6.18,95,0,0
STL100331,AWB100331,BATCH-A,1,2026-07-14,0,7.302,95,0,0
STL100332,AWB100332,BATCH-C,4,2026-07-03,0,8.38,114,0,0
STL100333,AWB100333,BATCH-B,3,2026-07-24,0,8.074,95,0,0
STL100334,AWB100334,BATCH-A,2,2026-07-06,0,2.102,65,58,0
STL100335,AWB100335,BATCH-D,2,2026-07-30,3233,2.642,65,0,64
STL100336,AWB100336,BATCH-C,1,2026-08-06,0,4.913,95,0,0
STL100337,AWB100337,BATCH-A,2,2026-08-24,5092,6.097,95,0,101
STL100338,AWB100338,BATCH-C,4,2026-09-16,0,1.048,78,0,0
STL100339,AWB100339,BATCH-A,2,2026-08-03,0,5.739,95,0,0
STL100340,AWB100340,BATCH-B,3,2026-07-25,4140,5.875,95,0,82
STL100341,AWB100341,BATCH-A,5,2026-08-10,3938,7.932,95,162,78
STL100342,AWB100342,BATCH-B,5,2026-07-29,1076,1.004,65,193,21
STL100343,AWB100343,BATCH-C,2,2026-09-12,0,4.83,95,207,0
STL9100343,AWB100343,BATCH-DUP,2,2026-09-12,0,4.83,95,207,0
STL100344,AWB100344,BATCH-C,3,2026-07-18,2537,5.056,95,0,50
STL100345,AWB100345,BATCH-D,4,2026-07-10,0,0.728,50,118,0
STL100346,AWB100346,BATCH-C,4,2026-09-12,4306,1.062,65,0,86
STL100347,AWB100347,BATCH-A,5,2026-08-20,0,7.109,95,0,0
STL100348,AWB100348,BATCH-B,1,2026-08-31,666,2.064,65,0,13
